名稱,方法,描述
Index,透過索引（index）管理資料,每個資料都有一個數字代表所在位置，有序列性，透過數字對資料進行存取。
Key-Value Pair,使用 key 管理資料,每個資料只會對應到一個 key，透過 key 對資料進行存取的動作。（key 通常是字串）
